date,symbol,entry_time,exit_time,entry,exit,qty,pnl,rr
2026-02-10,GRASIM.NS,2026-02-10 09:35:00+00:00,2026-02-11 03:45:00+00:00,2953.38,2947.300048828125,6,-36.479707031250655,1.75
2026-02-26,MAXHEALTH.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1110.35,1108.0,16,-37.59999999999855,1.75
2026-02-26,SHRIRAMFIN.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1104.85,1101.699951171875,11,-34.650537109374,1.75
2026-02-26,SUNPHARMA.NS,2026-02-26 09:45:00+00:00,2026-02-27 03:45:00+00:00,1786.19,1780.5,6,-34.14000000000033,1.75
2026-02-26,TMPV.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,390.7,392.1874893188476,46,68.42450866699062,1.75
2026-02-26,TMPV.NS,2026-02-26 09:45:00+00:00,2026-02-26 09:55:00+00:00,392.49,391.6000061035156,60,-53.399633789063046,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:50:00+00:00,215.84,215.4100036621093,142,-61.059479980469234,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:55:00+00:00,2026-02-27 04:20:00+00:00,215.74,215.009994506836,58,-42.34031860351615,1.75
2026-02-09,ULTRACEMCO.NS,2026-02-09 09:35:00+00:00,2026-02-09 09:45:00+00:00,13068.53,13051.0,2,-35.06000000000131,1.75
2026-02-25,BAJAJ-AUTO.NS,2026-02-25 09:45:00+00:00,2026-02-25 09:55:00+00:00,10112.55,10095.5,2,-34.099999999998545,1.75
2026-02-26,BAJAJ-AUTO.NS,2026-02-26 09:40:00+00:00,2026-02-26 09:50:00+00:00,10108.05,10137.012499999995,2,57.924999999995634,1.75
2026-02-26,EICHERMOT.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,8198.6,8180.0,2,-37.20000000000073,1.75
2026-02-18,ITC.NS,2026-02-18 09:35:00+00:00,2026-02-19 03:45:00+00:00,332.68,331.8500061035156,60,-49.79963378906291,1.75
2026-02-26,MAXHEALTH.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1110.35,1108.0,16,-37.59999999999855,1.75
2026-02-26,SHRIRAMFIN.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1104.85,1101.699951171875,11,-34.650537109374,1.75
2026-02-26,TMPV.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,390.7,392.1874893188476,46,68.42450866699062,1.75
2026-02-26,TMPV.NS,2026-02-26 09:45:00+00:00,2026-02-26 09:55:00+00:00,392.49,391.6000061035156,60,-53.399633789063046,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:50:00+00:00,215.84,215.4100036621093,142,-61.059479980469234,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:55:00+00:00,2026-02-27 04:20:00+00:00,215.74,215.009994506836,58,-42.34031860351615,1.75
2026-02-25,BAJAJ-AUTO.NS,2026-02-25 09:45:00+00:00,2026-02-25 09:55:00+00:00,10112.55,10095.5,2,-34.099999999998545,1.75
2026-02-26,BAJAJ-AUTO.NS,2026-02-26 09:40:00+00:00,2026-02-26 09:50:00+00:00,10108.05,10137.012499999995,2,57.924999999995634,1.75
2026-02-26,EICHERMOT.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,8198.6,8180.0,2,-37.20000000000073,1.75
2026-02-18,ITC.NS,2026-02-18 09:35:00+00:00,2026-02-19 03:45:00+00:00,332.68,331.8500061035156,60,-49.79963378906291,1.75
2026-02-26,MAXHEALTH.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1110.35,1108.0,16,-37.59999999999855,1.75
2026-02-26,SHRIRAMFIN.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1104.85,1101.699951171875,11,-34.650537109374,1.75
2026-02-26,TMPV.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,390.7,392.1874893188476,46,68.42450866699062,1.75
2026-02-26,TMPV.NS,2026-02-26 09:45:00+00:00,2026-02-26 09:55:00+00:00,392.49,391.6000061035156,60,-53.399633789063046,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:50:00+00:00,215.84,215.4100036621093,142,-61.059479980469234,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:55:00+00:00,2026-02-27 04:20:00+00:00,215.74,215.009994506836,58,-42.34031860351615,1.75
2026-02-25,BAJAJ-AUTO.NS,2026-02-25 09:45:00+00:00,2026-02-25 09:55:00+00:00,10112.55,10095.5,2,-34.099999999998545,1.75
2026-02-26,BAJAJ-AUTO.NS,2026-02-26 09:40:00+00:00,2026-02-26 09:50:00+00:00,10108.05,10137.012499999995,2,57.924999999995634,1.75
2026-02-26,CIPLA.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,1358.78,1357.0999755859375,30,-50.40073242187418,1.75
2026-02-26,EICHERMOT.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,8198.6,8180.0,2,-37.20000000000073,1.75
2026-02-26,MAXHEALTH.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1110.35,1108.0,16,-37.59999999999855,1.75
2026-02-26,SHRIRAMFIN.NS,2026-02-26 09:35:00+00:00,2026-02-27 03:45:00+00:00,1104.85,1101.699951171875,11,-34.650537109374,1.75
2026-02-24,TATACONSUM.NS,2026-02-24 09:35:00+00:00,2026-02-24 09:55:00+00:00,1179.19,1176.300048828125,13,-37.56936523437571,1.75
2026-02-24,TATACONSUM.NS,2026-02-24 09:55:00+00:00,2026-02-25 03:55:00+00:00,1179.69,1176.0,9,-33.21000000000049,1.75
2026-02-26,TMPV.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:45:00+00:00,390.7,392.1874893188476,46,68.42450866699062,1.75
2026-02-26,TMPV.NS,2026-02-26 09:45:00+00:00,2026-02-26 09:55:00+00:00,392.49,391.6000061035156,60,-53.399633789063046,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:35:00+00:00,2026-02-26 09:50:00+00:00,215.84,215.4100036621093,142,-61.059479980469234,1.75
2026-02-26,TATASTEEL.NS,2026-02-26 09:55:00+00:00,2026-02-27 04:20:00+00:00,215.74,215.009994506836,58,-42.34031860351615,1.75
2026-02-25,BAJAJ-AUTO.NS,2026-02-25 09:45:00+00:00,2026-02-25 09:55:00+00:00,10112.55,10095.5,2,-34.099999999998545,1.75
2026-02-26,BAJAJ-AUTO.NS,2026-02-26 09:40:00+00:00,2026-02-26 09:50:00+00:00,10108.05,10137.012499999995,2,57.924999999995634,1.75
